title,channel,url,channelUrl,topic/category
HOW TO PLAY FRACTURE LIKE A PRO | PLAYBOOK & GUIDE,Valorant Kitchen,https://www.youtube.com/watch?v=tz7YNjTIB2U,https://www.youtube.com/@ValorantKitchen,
"Fracture Premier Guide, From a Pro Coach",Fellowship Esports,https://www.youtube.com/watch?v=6XupFaHh_UY,https://www.youtube.com/@FellowshipEsports,
Haven Guide ft. Cavern,Woohoojin,https://www.youtube.com/watch?v=irv3iohBkjs,https://www.youtube.com/@Woohoojin,
"Haven Premier Guide, from a Pro Coach | NEW 2025",Fellowship Esports,https://www.youtube.com/watch?v=xwlRdAh-XEo,https://www.youtube.com/@FellowshipEsports,
How to DOMINATE on Haven | RADIANT GUIDE/PLAYBOOK,Dopai,https://www.youtube.com/watch?v=pefnbebcs9k,https://www.youtube.com/@Dopai,
Icebox Guide,Woohoojin,https://www.youtube.com/watch?v=RiEtwcYCK88,https://www.youtube.com/@Woohoojin,
COMPLETE Icebox 2.0 Entry & Defense Angle Guide [2026],Slayerkey,https://www.youtube.com/watch?v=ztBr3Qkbxdo,https://www.youtube.com/@Slayerkey,
"Icebox Premier Guide, from a Pro Coach",Fellowship Esports,https://www.youtube.com/watch?v=wV3g1dbgKqA,https://www.youtube.com/@FellowshipEsports,
COMPLETE Lotus Entry & Defense Angle Guide [2026],Slayerkey,https://www.youtube.com/watch?v=jspCQg61_S0,https://www.youtube.com/@Slayerkey,
How to Exploit Lotus like a Pro,Sentinels,https://www.youtube.com/watch?v=BpAvTmBkDC4,https://www.youtube.com/@Sentinels,
How to ACTUALLY play Lotus like a PRO,Valorant Kitchen,https://www.youtube.com/watch?v=_fBw3ZyC3Fw,https://www.youtube.com/@ValorantKitchen,
COMPLETE Pearl Entry & Defense Angle Guide [2026],Slayerkey,https://www.youtube.com/watch?v=8mP-JdUz5Us,https://www.youtube.com/@Slayerkey,
"Pearl Premier Guide, from a Pro Coach | New Meta",Fellowship Esports,https://www.youtube.com/watch?v=WgFVsicmygo,https://www.youtube.com/@FellowshipEsports,
Updated Split Guide 2026,Dopai,https://www.youtube.com/watch?v=lSxYHTNABuo,https://www.youtube.com/@Dopai,
How to Actually Play Split (In Just 8 Minutes),p1ops,https://www.youtube.com/watch?v=Pv4LDkWGFOo,https://www.youtube.com/@p1ops264,
"Split Premier Guide, from a Pro Coach | 2025 Meta",Fellowship Esports,https://www.youtube.com/watch?v=4Rw8nKowEEU,https://www.youtube.com/@FellowshipEsports,
Split Guide ft. Cavern,Woohoojin,https://www.youtube.com/watch?v=r7htJmHVj5U,https://www.youtube.com/@Woohoojin,
"Summit Sucks, Here's a Complete Map Guide [2026]",Slayerkey,https://www.youtube.com/watch?v=hx4EU_pkw-Q,https://www.youtube.com/@Slayerkey,
Here’s How You ACTUALLY Play Summit,Airen,https://www.youtube.com/watch?v=S6zNv5GuQGQ,https://www.youtube.com/@AirenYT,
Ranking Every Agent on Summit | VALORANT,Kanga,https://www.youtube.com/watch?v=t-tUIssI8WQ,https://www.youtube.com/@KangaValorant,
Pro Breaks Down NEW MAP - Summit,nAts,https://www.youtube.com/watch?v=FndfMWMScAU,https://www.youtube.com/@nAts__ss,
How to Play *SUMMIT* in Valorant Ranked! (Radiant Map Guide),CHARLATAN | Radiant Coach,https://www.youtube.com/watch?v=9ZKAxsxvJRs,https://www.youtube.com/@Charla7an,
COMPLETE Sunset 2.0 Entry & Defense Angle Guide [2026],Slayerkey,https://www.youtube.com/watch?v=KI5d7Jz0sMA,https://www.youtube.com/@Slayerkey,
Stop LOSING on SUNSET! - VALORANT,Konpeki,https://www.youtube.com/watch?v=Eq2zi3dUvl4,https://www.youtube.com/@CoachKonpeki,
Sunset Is Free If You Play It Like This,p1ops,https://www.youtube.com/watch?v=JlpbFpPH5pQ,https://www.youtube.com/@p1ops264,
The ONLY Astra Guide You'll EVER Need! (2025),SC Valorant Guides,https://www.youtube.com/watch?v=7iK8xg42LZY,https://www.youtube.com/@skillcappedvalorant,
The Astra Mindset Guide (2025),Damezz,https://www.youtube.com/watch?v=KwsUf1N4Rfo,https://www.youtube.com/@odamezz,
3 Minute Astra Guide - A Guide for Valorant,3 Minute Valorant,https://www.youtube.com/watch?v=kolGGUnFL0U,https://www.youtube.com/@3MinuteValorant,
A Complete Beginner's Guide to ASTRA,FLOWSHIZZLE,https://www.youtube.com/watch?v=QVhnlXUFtNQ,https://www.youtube.com/@FLOWSHIZZLE,
The 10 Astra Tips - Valorant,Damezz,https://www.youtube.com/watch?v=F89C2zL9_e0,https://www.youtube.com/@odamezz,
How To Master Breach: Tips & Tricks,Vitalytoly,https://www.youtube.com/watch?v=ZrINkPmwqQY,https://www.youtube.com/@Vitalytoly,
HOW TO RANKED: BREACH,toast1ez,https://www.youtube.com/watch?v=ONbyvNV_YO4,https://www.youtube.com/@toast1ez,
1 Breach Tip You NEED To Know For Every Map,Vitalytoly,https://www.youtube.com/watch?v=uAnyzBM0X44,https://www.youtube.com/@Vitalytoly,
The Only *UPDATED* Breach Guide You'll EVER NEED! (2023),"ProGuides Valorant Tips, Tricks and Guides",https://www.youtube.com/watch?v=9NqcyEi-stQ,https://www.youtube.com/@proguidesvalorant,
"The ULTIMATE Brimstone Guide! - Lineups, Smoke Tips and MORE! - Valorant Agent Guide",SC Valorant Guides,https://www.youtube.com/watch?v=ZKVx1AVwibg,https://www.youtube.com/@skillcappedvalorant,
How To Solo Hard Carry on Brimstone! - VALORANT,"ProGuides Valorant Tips, Tricks and Guides",https://www.youtube.com/watch?v=R_-cA-DLtWA,https://www.youtube.com/@proguidesvalorant,
The True Radiant Chamber Guide!,Isot,https://www.youtube.com/watch?v=eWiHe4Ynnp0,https://www.youtube.com/@Isot111,
How To Play CHAMBER in Valorant (PRO Tips & Tricks Series) || Chamber To Radiant (#1),CHARLATAN | Radiant Coach,https://www.youtube.com/watch?v=yIRRRwqBA7E,https://www.youtube.com/@Charla7an,
Crazy Chamber Strategies To Rank Up Faster || Chamber To Radiant (FINALE),CHARLATAN | Radiant Coach,https://www.youtube.com/watch?v=fw_VbMbTi8w,https://www.youtube.com/@Charla7an,
The 4 Chamber Playstyles You Should Be Copying,FLOWSHIZZLE,https://www.youtube.com/watch?v=GYN-bW8FpLM,https://www.youtube.com/@FLOWSHIZZLE,
The Only Controller That Climbs High Radiant | Full Clove Guide,"ProGuides Valorant Tips, Tricks and Guides",https://www.youtube.com/watch?v=QbaMRzINRkI,https://www.youtube.com/@proguidesvalorant,
The Ultimate Beginners Guide for Cypher (Valorant 2024),Dylan B Gamin,https://www.youtube.com/watch?v=bIR_TVV5yJI,https://www.youtube.com/@DylanBGamin,
The ULTIMATE Cypher Guide (2026),ItsFlameBTW,https://www.youtube.com/watch?v=p32l7DQZfXQ,https://www.youtube.com/@itsflamebtw,
A Series With Tons Of CYPHER Tips And Tricks | Cypher To Ascendant,MrLowlander,https://www.youtube.com/watch?v=F46Kv35WkLE,https://www.youtube.com/@MrLowlander,
How to Play Deadlock (Valorant Tips),Jaeky,https://www.youtube.com/watch?v=jIjw1DppXxM,https://www.youtube.com/@Jaeky,
The ONLY Deadlock Guide You'll Need. (Top 1%),sullyyarb,https://www.youtube.com/watch?v=MyZ1ZMOv3k0,https://www.youtube.com/@sullyyarb,
The Ultimate Guide To Deadlock...,Boni,https://www.youtube.com/watch?v=FDgXEFM2cqY,https://www.youtube.com/@BoniValo,
*NEW* Best Deadlock Setups For EVERY Map,Boni,https://www.youtube.com/watch?v=cZL-ZjgVoWk,https://www.youtube.com/@BoniValo,
10 Tips & Tricks for DEADLOCK You NEED to Know - Radiant Deadlock Guide VALORANT,Brush,https://www.youtube.com/watch?v=vkqCjGOiXYg,https://www.youtube.com/@BrushGG,
THIS IS HOW TENZ PLAYS DEADLOCK IN 2026 🤣,TenZ Replay,https://www.youtube.com/watch?v=WNb1Miky4Bw,https://www.youtube.com/@tenzreplay,
HOW TO RANKED: FADE,toast1ez,https://www.youtube.com/watch?v=8vbwCEe8tFg,https://www.youtube.com/@toast1ez,
BEST Fade Lineups ALL MAPS 2026 Guide Valorant! 📍,Frost LIVE,https://www.youtube.com/watch?v=5yqNa4HIq5Q,https://www.youtube.com/@FrostLIVE,
ALL GREAT FADES DO THIS,Woohoojin,https://www.youtube.com/watch?v=JipByQrA-gU,https://www.youtube.com/@Woohoojin,
The ONLY Gekko Guide You'll EVER Need!,SC Valorant Guides,https://www.youtube.com/watch?v=7njFHZ7iP2Q,https://www.youtube.com/@skillcappedvalorant,
SEN TenZ ULTIMATE GEKKO GUIDE !!!!,TenZ,https://www.youtube.com/watch?v=D5IXDf0woUQ,https://www.youtube.com/@TenZ,
HOW TO PLAY GEKKO LIKE A VCT PLAYER!,Team Vitality VALORANT,https://www.youtube.com/watch?v=2oZ0mP2-nAU,https://www.youtube.com/@TeamVitalityVALORANT,
These 5 Gekko Tips Got Me Radiant,SoMarcus,https://www.youtube.com/watch?v=FDc-DPzs-80,https://www.youtube.com/@SoMarcus,
TenZ FULL *NEW* GEKKO UPDATE REVIEW !!!,TenZ Replay,https://www.youtube.com/watch?v=RYzYuB6IeH8,https://www.youtube.com/@tenzreplay,
5 IN-DEPTH Ability Tips to MASTER GEKKO in Valorant,Duckeeh,https://www.youtube.com/watch?v=hSXXY0zMJmY,https://www.youtube.com/@Duckeeh,
The ONLY Harbor guide you need to hit RADIANT…,SoaR Valorant,https://www.youtube.com/watch?v=rOPHclJgf1M,https://www.youtube.com/@SoaRValorant,
The unexpected impact of Harbor's rework,Sentinels,https://www.youtube.com/watch?v=CqM5NUTz-Ms,https://www.youtube.com/@Sentinels,
HARBOR IS THE *NEW* PRO META !!! | TenZ,TenZ,https://www.youtube.com/watch?v=a0Vg6F9c9lw,https://www.youtube.com/@TenZ,
Riot FINALLY Made Harbor META… He's BROKEN,Teets,https://www.youtube.com/watch?v=AcVGB_u-O-8,https://www.youtube.com/@TeetsTV,
Radiant Iso Guide (Valorant Tips),Jaeky,https://www.youtube.com/watch?v=441tMwoFSeE,https://www.youtube.com/@Jaeky,
How to win more Iso ultimates - VALORANT Guide by VCT analyst // Lothar's Lab#95,LotharHS,https://www.youtube.com/watch?v=VHRybuFMdbU,https://www.youtube.com/@LotharHS,
Is Iso's Ultimate Even An Advantage?,royalG,https://www.youtube.com/watch?v=jeAlvLKFBmc,https://www.youtube.com/@royalgftw,
The Complete ISO GUIDE for IMPROVING in VALORANT!!,TempoKD,https://www.youtube.com/watch?v=UQ--yj9VlPc,https://www.youtube.com/@TempoKD,
How to Play Jett (Valorant Tips),Jaeky,https://www.youtube.com/watch?v=9Yg-HaZdmxU,https://www.youtube.com/@Jaeky,
How to SOLO CARRY with JETT in 2026 (Radiant Jett Guide),CHARLATAN | Radiant Coach,https://www.youtube.com/watch?v=kwxOY6ZCymk,https://www.youtube.com/@Charla7an,
HOW TO RANKED: JETT,toast1ez,https://www.youtube.com/watch?v=qKckQRNOkXk,https://www.youtube.com/@toast1ez,
How an Instalock Jett Main Carries in Ranked,Maxie,https://www.youtube.com/watch?v=eb0rnhevvbk,https://www.youtube.com/@Maxiedome,
Why You Can't get Kills as Jett,Woohoojin,https://www.youtube.com/watch?v=0EDe79bzgr8,https://www.youtube.com/@Woohoojin,
KAY/O Basics: What Every New Player Should Know,todo,https://www.youtube.com/watch?v=AseqYI-7rpI,https://www.youtube.com/@kjtodo,
The ONLY Kayo Guide You'll EVER Need! (2024),SC Valorant Guides,https://www.youtube.com/watch?v=RSzBwuCrP-o,https://www.youtube.com/@skillcappedvalorant,
The Problem with KAY/O that NOBODY is Talking About,LrohVCT,https://www.youtube.com/watch?v=9rQnpB1HxWA,https://www.youtube.com/@LrohVCT,
*ULTIMATE* Radiant Killjoy Guide 2026! (KJ Tech + Tips & Tricks),Reco,https://www.youtube.com/watch?v=Mz3j9lp_tZI,https://www.youtube.com/@RecoKilljoy,
How to be useful on KJ,Maxie,https://www.youtube.com/watch?v=bIK68DC5ovg,https://www.youtube.com/@Maxiedome,
"I Played Nonstop Killjoy For Months, Here's What I Learned",MrLowlander,https://www.youtube.com/watch?v=GbrquyjCJDw,https://www.youtube.com/@MrLowlander,
The Last Killjoy Guide You’ll Ever Need | ALL MAPS — TIMESTAMPED,Keeoh,https://www.youtube.com/watch?v=4ltUDIdDRMQ,https://www.youtube.com/@Keeoh,
The ULTIMATE Miks Guide for VALORANT!,Rem,https://www.youtube.com/watch?v=jt7qDoQ1Zd4,https://www.youtube.com/@RemValorant,
The ONLY Miks Guide You'll Ever Need! - Valorant,SC Valorant Guides,https://www.youtube.com/watch?v=Jjl8y_j_sgs,https://www.youtube.com/@skillcappedvalorant,
"I Only Played MIKS For The Whole Day, Here's What I Learned",MrLowlander,https://www.youtube.com/watch?v=kZ-84XMrynA,https://www.youtube.com/@MrLowlander,
Is MIKS a Good Main Agent for Valorant Ranked Grind?,CHARLATAN | Radiant Coach,https://www.youtube.com/watch?v=TOFSAVqvQf4,https://www.youtube.com/@Charla7an,
The ONLY Miks Guide You’ll Ever Need (ft. Boaster),FNATIC Valorant,https://www.youtube.com/watch?v=AKyp8hmoK_w,https://www.youtube.com/@fnaticvalorant,
HOW TO: MIKS,toast1ez,https://www.youtube.com/watch?v=CImuyLEP5pM,https://www.youtube.com/@toast1ez,
The only NEON guide you will EVER need.,ikah,https://www.youtube.com/watch?v=rK9Xow-8V0g,https://www.youtube.com/@ik4h,
How to Entry with Neon,nxrth,https://www.youtube.com/watch?v=BrCgVl_WdUs,https://www.youtube.com/@nxrths,
Instalocking Neon Made Me Insane...,Valec,https://www.youtube.com/watch?v=sLVbIT-BI_w,https://www.youtube.com/@Valec.1,
What OMEN Mains Don't Tell YOU: Tips & Tricks,DBW,https://www.youtube.com/watch?v=c_5Jy4fykoQ,https://www.youtube.com/@TheRealDBW,
The ONLY Guide You Need to MASTER OMEN,Konpeki,https://www.youtube.com/watch?v=136LPiJPYY0,https://www.youtube.com/@CoachKonpeki,
How to be USEFUL on OMEN,Maxie,https://www.youtube.com/watch?v=TsZI9COIPq4,https://www.youtube.com/@Maxiedome,
Absolute Basics of Omen,Berate,https://www.youtube.com/watch?v=Sc_t4wzIBoU,https://www.youtube.com/@BerateValorant,
Advanced Omen Teleport Guide (All Maps) *2026*,Berate,https://www.youtube.com/watch?v=6iClB_z2iAY,https://www.youtube.com/@BerateValorant,
Phoenix is really good right now,Maxie,https://www.youtube.com/watch?v=ysO09QrES3s,https://www.youtube.com/@Maxiedome,
How to Carry on Phoenix,Maxie,https://www.youtube.com/watch?v=-vgR_Nqfbgs,https://www.youtube.com/@Maxiedome,
The ULTIMATE Phoenix Guide for VALORANT 2025 - Rank Up FAST with New Tech!,xtr,https://www.youtube.com/watch?v=439vfL_WeXo,https://www.youtube.com/@xtrval,
The ONLY Phoenix guide you need to hit RADIANT…,SoaR Valorant,https://www.youtube.com/watch?v=ntPwCj2KFpI,https://www.youtube.com/@SoaRValorant,
How To Play RAZE in Valorant (PRO Tips & Tricks Series) || Raze To Immortal (#1),CHARLATAN | Radiant Coach,https://www.youtube.com/watch?v=G6729x2C9bI,https://www.youtube.com/@Charla7an,
How to DOMINATE on RAZE!! (Complete RADIANT Guide),ikah,https://www.youtube.com/watch?v=8FWNZxjV5PQ,https://www.youtube.com/@ik4h,
The ONLY Raze Guide You'll EVER Need! - Valorant Agent Guide,SC Valorant Guides,https://www.youtube.com/watch?v=n20WzwnHGRw,https://www.youtube.com/@skillcappedvalorant,
How to Play Raze Like Zekken,Konpeki,https://www.youtube.com/watch?v=bATyRKYQbP4,https://www.youtube.com/@CoachKonpeki,
The ONLY GUIDE You Need to MASTER RAZE,Konpeki,https://www.youtube.com/watch?v=U87ZlV7PQRE,https://www.youtube.com/@CoachKonpeki,
The ONLY Guide You Need To MASTER REYNA,Konpeki,https://www.youtube.com/watch?v=A_SuPBvsvy0,https://www.youtube.com/@CoachKonpeki,
I SPECTATED THE #1 Reyna In VALORANT,Rem,https://www.youtube.com/watch?v=iK9puzpuVfo,https://www.youtube.com/@RemValorant,
FUNDAMENTAL Reyna TIPS That Make You IMMORTAL (Valorant),Duckeeh,https://www.youtube.com/watch?v=7XP0vA66fUk,https://www.youtube.com/@Duckeeh,
What 3000+ Hours on Sage Teaches You ft. Grim - Valorant Agent Guide,SC Valorant Guides,https://www.youtube.com/watch?v=KxNYwyPfsT0,https://www.youtube.com/@skillcappedvalorant,
How to Sage Wall on Every Map (Guide),Grim,https://www.youtube.com/watch?v=svPKK9swRr4,https://www.youtube.com/@GrimGuy,
How To Carry in Ranked on Skye,Maxie,https://www.youtube.com/watch?v=mLwPYATjw3A,https://www.youtube.com/@Maxiedome,
How to Play Skye From a Valorant Pro! | TSM Subroza Valorant,TSM,https://www.youtube.com/watch?v=WS1Tt5vjszo,https://www.youtube.com/@TSM,
The ONLY GUIDE You Need to MASTER SOVA,Konpeki,https://www.youtube.com/watch?v=HLE32CD555k,https://www.youtube.com/@CoachKonpeki,
Sova Guide 2024: How to play Sova in Valorant ranked,AverageJonas,https://www.youtube.com/watch?v=XKd3U9JCLL8,https://www.youtube.com/@AverageJonas,
HOW TO: CLIMB RANKED WITH SOVA,toast1ez,https://www.youtube.com/watch?v=QnUkOYbTAz8,https://www.youtube.com/@toast1ez,
This TEJO GUIDE Will Make You a SoloQ Monster in VALORANT!,CHARLATAN | Radiant Coach,https://www.youtube.com/watch?v=_DAxdH_Tvw4,https://www.youtube.com/@Charla7an,
How To Play TEJO On Every Map,Berate,https://www.youtube.com/watch?v=-Kdi2J_kIVs,https://www.youtube.com/@BerateValorant,
The TRIUMPHANT Return of the TEJO META!,Teets,https://www.youtube.com/watch?v=mRO_nrVOqN8,https://www.youtube.com/@TeetsTV,
5 Pro Tips ONLY Tejo Mains Know!,SC Valorant Guides,https://www.youtube.com/watch?v=r4AsYU9rmb4,https://www.youtube.com/@skillcappedvalorant,
"TenZ Explain NEW Veto Buffs, Tip & Tricks || Valorant ||  #valorant #gaming #valorantclips",iiTzKalki,https://www.youtube.com/watch?v=Lprr6e6sosU,https://www.youtube.com/@iiTzKalki,
i tried new veto buff...,GrimLIVE,https://www.youtube.com/watch?v=KCeYJbZJpkg,https://www.youtube.com/@GrimGuyLIVE,
You NEED To Know This BEFORE Playing Veto!,Thinking Man's Valorant,https://www.youtube.com/watch?v=vaiWvGvszjs,https://www.youtube.com/@ThinkingMansValorant,
How to CARRY With Veto,Berate,https://www.youtube.com/watch?v=sGJiGXA_uco,https://www.youtube.com/@BerateValorant,
"How to play Viper - Setups, Game Theory & more",Locked,https://www.youtube.com/watch?v=obEe0IvUqj8,https://www.youtube.com/@Locked1,
Ultimate 2026 Viper Lineup Guide,nAts,https://www.youtube.com/watch?v=LbcPQO_AdJI,https://www.youtube.com/@nAts__ss,
"I Nonstop Played Viper For 1 Month, Here's What I Learned",MrLowlander,https://www.youtube.com/watch?v=FhfofvhY7u4,https://www.youtube.com/@MrLowlander,
The Ultimate Guide to Vyse,Konpeki,https://www.youtube.com/watch?v=SaRikMdp3rI,https://www.youtube.com/@CoachKonpeki,
32 Insane Vyse Mechanics,MrLowlander,https://www.youtube.com/watch?v=AS4M2tCXrLY,https://www.youtube.com/@MrLowlander,
The ULTIMATE VYSE Guide for VALORANT!,Rem,https://www.youtube.com/watch?v=_WwXFX3ivXc,https://www.youtube.com/@RemValorant,
How the #1 Vyse Thinks...,Chef,https://www.youtube.com/watch?v=XvcKw-t2ci0,https://www.youtube.com/@SeismicChef,
The only WAYLAY guide you will EVER need.,ikah,https://www.youtube.com/watch?v=H_7KGOaEhmE,https://www.youtube.com/@ik4h,
COMPLETE Waylay Attack & Defense Agent Guide [2025],Slayerkey,https://www.youtube.com/watch?v=ji69ahDwwqs,https://www.youtube.com/@Slayerkey,
The ULTIMATE Waylay Guide for VALORANT! (PRO Tips & Tricks),CHARLATAN | Radiant Coach,https://www.youtube.com/watch?v=JqbHh3ymnjk,https://www.youtube.com/@Charla7an,
8 Advanced Waylay Tricks That Will Make You UNSTOPPABLE!,Valorant Kitchen,https://www.youtube.com/watch?v=GEbxLkO1EsE,https://www.youtube.com/@ValorantKitchen,
5 Tips to Know Before Playing Waylay,Acend Club,https://www.youtube.com/watch?v=T94ZjD9IPB0,https://www.youtube.com/@AcendClub,
ULTIMATE RADIANT YORU GUIDE 3000+ hours experience- Basic and Advanced Techniques,LotharHS VALORANT Laboratory,https://www.youtube.com/watch?v=9M2sNJ1AANs,https://www.youtube.com/@LotharHS-VALORANT-Laboratory,
Ultimate Beginner Yoru Guide!,Berate,https://www.youtube.com/watch?v=dEzotUpYHjA,https://www.youtube.com/@BerateValorant,
How to Play Yoru For Beginners (Guide),rob,https://www.youtube.com/watch?v=DsNe0ht81DQ,https://www.youtube.com/@robertrayhart,
The ONLY Yoru Guide You'll EVER Need!,SC Valorant Guides,https://www.youtube.com/watch?v=ZRkUafkqvOc,https://www.youtube.com/@skillcappedvalorant,
The Art Of The Controller,BubbaWubba,https://www.youtube.com/watch?v=DHlreIU_uUs,https://www.youtube.com/@bubbawubba111,
The NEW Way to Play Controller!,SC Valorant Guides,https://www.youtube.com/watch?v=MjrvSKLjuIs,https://www.youtube.com/@skillcappedvalorant,
Valorant's Rank #1 Controller Will Blow Your Mind,Konpeki,https://www.youtube.com/watch?v=MxdNNBJY-Es,https://www.youtube.com/@CoachKonpeki,
6 things I learned hitting TOP 100 as controller ONLY,Dopai,https://www.youtube.com/watch?v=6B1Uy4_Jvlk,https://www.youtube.com/@Dopai,
The secret to top fragging on duelist,Woohoojin,https://www.youtube.com/watch?v=gBrxodae3Ao,https://www.youtube.com/@Woohoojin,
Entry like a Radiant | Full Duelist Guide,randomnoobtv,https://www.youtube.com/watch?v=z1owph5QsxM,https://www.youtube.com/@randomnoobtv,
What Makes A Good Duelist?,Konpeki,https://www.youtube.com/watch?v=XNMgCjPs9T8,https://www.youtube.com/@CoachKonpeki,
How to Actually Play Duelist Properly,bonkar,https://www.youtube.com/watch?v=FZESsnkwUyw,https://www.youtube.com/@coachbonkar,
Why You Suck at Playing Initiator (And How to Fix It),Konpeki,https://www.youtube.com/watch?v=-qgS0MAzLJE,https://www.youtube.com/@CoachKonpeki,
The Art Of The Initiator,BubbaWubba,https://www.youtube.com/watch?v=xxfrFpLp8JQ,https://www.youtube.com/@bubbawubba111,
Inside the Mind of a TOP 0.01% Initiator One Trick,Lynx,https://www.youtube.com/watch?v=e3MWhsdSPqE,https://www.youtube.com/@lynxunityzz,
"Valorant Initiator Guide: How to get started (Sova, Fade, Skye, Kay/o, Breach)",SimpleVal,https://www.youtube.com/watch?v=juZOFGtHm_c,https://www.youtube.com/@simpleval6466,
What Makes A Good Sentinel?,Konpeki,https://www.youtube.com/watch?v=PsiyJvJ9kbc,https://www.youtube.com/@CoachKonpeki,
"perfect sentinel is easy, actually",Slayerkey,https://www.youtube.com/watch?v=VM3q0c71urw,https://www.youtube.com/@Slayerkey,
Who is the BEST Sentinel in Valorant?,Keeoh,https://www.youtube.com/watch?v=FC0utzZ0wHw,https://www.youtube.com/@Keeoh,
"3 TIPS to DOMINATE on EVERY ROLE in Valorant | Duelist, Initiator, Controller and Sentinel",Slayerkey,https://www.youtube.com/watch?v=OL2syQglUhw,https://www.youtube.com/@Slayerkey,
