title,channel,url,sourceKind,topicType,entities,startSeconds
The unexpected impact of Harbor's rework,Sentinels,https://www.youtube.com/watch?v=CqM5NUTz-Ms,owner-curated-research-video,Agent,Harbor,0
*NEW* Best Deadlock Setups For EVERY Map,Boni,https://www.youtube.com/watch?v=cZL-ZjgVoWk,owner-curated-research-video,Agent,Deadlock,0
arcane collection video,VALORANT,https://www.youtube.com/watch?v=d1yOu8UlmkQ,skin-collection-video,,arcane,0
SEN TenZ ULTIMATE GEKKO GUIDE !!!!,TenZ,https://www.youtube.com/watch?v=D5IXDf0woUQ,owner-curated-research-video,Agent,Gekko,0
Find your PERFECT Sensitivity and Optimal Settings! | SEN TenZ,TenZ,https://www.youtube.com/watch?v=d8CXBLRgP-A,settings-gear,Settings/Gear,,0
Ultimate Beginner Yoru Guide!,Berate,https://www.youtube.com/watch?v=dEzotUpYHjA,owner-curated-research-video,Agent,Yoru,0
The Art Of The Controller,BubbaWubba,https://www.youtube.com/watch?v=DHlreIU_uUs,owner-curated-research-video,Role,Controller,3
glitchpop collection video,VALORANT,https://www.youtube.com/watch?v=dhNyPZj-nQk,skin-collection-video,,glitchpop,0
How to Play Yoru For Beginners (Guide),rob,https://www.youtube.com/watch?v=DsNe0ht81DQ,owner-curated-research-video,Agent,Yoru,0
Inside the Mind of a TOP 0.01% Initiator One Trick,Lynx,https://www.youtube.com/watch?v=e3MWhsdSPqE,owner-curated-research-video,Role,Initiator,0
How an Instalock Jett Main Carries in Ranked,Maxie,https://www.youtube.com/watch?v=eb0rnhevvbk,owner-curated-research-video,Agent,Jett,0
chronovoid collection video,VALORANT,https://www.youtube.com/watch?v=ebGzlUQ6v_k,skin-collection-video,,chronovoid,0
dolmir s revenge collection video,Dittozkul,https://www.youtube.com/watch?v=EndGCF4xT7A,skin-collection-video,,dolmir-s-revenge,0
Stop LOSING on SUNSET! - VALORANT,Konpeki,https://www.youtube.com/watch?v=Eq2zi3dUvl4,owner-curated-research-video,Map Knowledge,Sunset,0
The True Radiant Chamber Guide!,Isot,https://www.youtube.com/watch?v=eWiHe4Ynnp0,owner-curated-research-video,Agent,Chamber,373
A Series With Tons Of CYPHER Tips And Tricks | Cypher To Ascendant,MrLowlander,https://www.youtube.com/watch?v=F46Kv35WkLE,owner-curated-research-video,Agent,Cypher,428
The 10 Astra Tips - Valorant,Damezz,https://www.youtube.com/watch?v=F89C2zL9_e0,owner-curated-research-video,Agent,Astra,0
Who is the BEST Sentinel in Valorant?,Keeoh,https://www.youtube.com/watch?v=FC0utzZ0wHw,owner-curated-research-video,Role,Sentinel,708
These 5 Gekko Tips Got Me Radiant,SoMarcus,https://www.youtube.com/watch?v=FDc-DPzs-80,owner-curated-research-video,Agent,Gekko,0
The Ultimate Guide To Deadlock...,Boni,https://www.youtube.com/watch?v=FDgXEFM2cqY,owner-curated-research-video,Agent,Deadlock,0
"I Nonstop Played Viper For 1 Month, Here's What I Learned",MrLowlander,https://www.youtube.com/watch?v=FhfofvhY7u4,owner-curated-research-video,Agent,Viper,0
Pro Breaks Down NEW MAP - Summit,nAts,https://www.youtube.com/watch?v=FndfMWMScAU,owner-curated-research-video,Map Knowledge,Summit,0
Crazy Chamber Strategies To Rank Up Faster || Chamber To Radiant (FINALE),CHARLATAN | Radiant Coach,https://www.youtube.com/watch?v=fw_VbMbTi8w,owner-curated-research-video,Agent,Chamber,0
How to Actually Play Duelist Properly,bonkar,https://www.youtube.com/watch?v=FZESsnkwUyw,owner-curated-research-video,Role,Duelist,0
How To Play RAZE in Valorant (PRO Tips & Tricks Series) || Raze To Immortal (#1),CHARLATAN | Radiant Coach,https://www.youtube.com/watch?v=G6729x2C9bI,owner-curated-research-video,Agent,Raze,0
"I Played Nonstop Killjoy For Months, Here's What I Learned",MrLowlander,https://www.youtube.com/watch?v=GbrquyjCJDw,owner-curated-research-video,Agent,Killjoy,0
The secret to top fragging on duelist,Woohoojin,https://www.youtube.com/watch?v=gBrxodae3Ao,owner-curated-research-video,Role,Duelist,307
8 Advanced Waylay Tricks That Will Make You UNSTOPPABLE!,Valorant Kitchen,https://www.youtube.com/watch?v=GEbxLkO1EsE,owner-curated-research-video,Agent,Waylay,0
The 4 Chamber Playstyles You Should Be Copying,FLOWSHIZZLE,https://www.youtube.com/watch?v=GYN-bW8FpLM,owner-curated-research-video,Agent,Chamber,0
phaseguard collection video,VALORANT,https://www.youtube.com/watch?v=gZPyHib9GNw,skin-collection-video,,phaseguard,0
The only WAYLAY guide you will EVER need.,ikah,https://www.youtube.com/watch?v=H_7KGOaEhmE,owner-curated-research-video,Agent,Waylay,0
divergence collection video,Dittozkul,https://www.youtube.com/watch?v=H_8vUux9R48,skin-collection-video,,divergence,0
protocol 781 a collection video,VALORANT,https://www.youtube.com/watch?v=h6i8lM3egvI,skin-collection-video,,protocol-781-a,0
"Bind Premier Guide, From a Pro Coach",Fellowship Esports,https://www.youtube.com/watch?v=HAqpUl3lydQ,owner-curated-research-video,Map Knowledge,Bind,0
What Pros Already Know About the New Breeze,Airen,https://www.youtube.com/watch?v=HEpqZQpclJ4,owner-curated-research-video,Map Knowledge,Breeze,0
The ONLY GUIDE You Need to MASTER SOVA,Konpeki,https://www.youtube.com/watch?v=HLE32CD555k,owner-curated-research-video,Agent,Sova,0
5 IN-DEPTH Ability Tips to MASTER GEKKO in Valorant,Duckeeh,https://www.youtube.com/watch?v=hSXXY0zMJmY,owner-curated-research-video,Agent,Gekko,0
"Summit Sucks, Here's a Complete Map Guide [2026]",Slayerkey,https://www.youtube.com/watch?v=hx4EU_pkw-Q,owner-curated-research-video,Map Knowledge,Summit,0
Embedded map strategy research video,Registered Library source,https://www.youtube.com/watch?v=I2kxN3-V4zg,map-strategy-video,Map Knowledge,,0
COMPLETE Ascent Entry & Defense Angle Guide [2024],Slayerkey,https://www.youtube.com/watch?v=IBG1WQ4maBA,owner-curated-research-video,Map Knowledge,Ascent,0
I SPECTATED THE #1 Reyna In VALORANT,Rem,https://www.youtube.com/watch?v=iK9puzpuVfo,owner-curated-research-video,Agent,Reyna,0
Haven Guide ft. Cavern,Woohoojin,https://www.youtube.com/watch?v=irv3iohBkjs,owner-curated-research-video,Map Knowledge,Haven,62
holo meridian collection video,Dittozkul,https://www.youtube.com/watch?v=iYemZ5UfHOk,skin-collection-video,,holo-meridian,0
Is Iso's Ultimate Even An Advantage?,royalG,https://www.youtube.com/watch?v=jeAlvLKFBmc,owner-curated-research-video,Agent,Iso,0
COMPLETE Waylay Attack & Defense Agent Guide [2025],Slayerkey,https://www.youtube.com/watch?v=ji69ahDwwqs,owner-curated-research-video,Agent,Waylay,0
How to Play Deadlock (Valorant Tips),Jaeky,https://www.youtube.com/watch?v=jIjw1DppXxM,owner-curated-research-video,Agent,Deadlock,0
ALL GREAT FADES DO THIS,Woohoojin,https://www.youtube.com/watch?v=JipByQrA-gU,owner-curated-research-video,Agent,Fade,0
The ONLY Miks Guide You'll Ever Need! - Valorant,SC Valorant Guides,https://www.youtube.com/watch?v=Jjl8y_j_sgs,owner-curated-research-video,Agent,Miks,0
Sunset Is Free If You Play It Like This,p1ops,https://www.youtube.com/watch?v=JlpbFpPH5pQ,owner-curated-research-video,Map Knowledge,Sunset,0
The ULTIMATE Waylay Guide for VALORANT! (PRO Tips & Tricks),CHARLATAN | Radiant Coach,https://www.youtube.com/watch?v=JqbHh3ymnjk,owner-curated-research-video,Agent,Waylay,0
COMPLETE Lotus Entry & Defense Angle Guide [2026],Slayerkey,https://www.youtube.com/watch?v=jspCQg61_S0,owner-curated-research-video,Map Knowledge,Lotus,0
The ULTIMATE Miks Guide for VALORANT!,Rem,https://www.youtube.com/watch?v=jt7qDoQ1Zd4,owner-curated-research-video,Agent,Miks,0
"Valorant Initiator Guide: How to get started (Sova, Fade, Skye, Kay/o, Breach)",SimpleVal,https://www.youtube.com/watch?v=juZOFGtHm_c,owner-curated-research-video,Role,Initiator,0
i tried new veto buff...,GrimLIVE,https://www.youtube.com/watch?v=KCeYJbZJpkg,owner-curated-research-video,Agent,Veto,0
COMPLETE Sunset 2.0 Entry & Defense Angle Guide [2026],Slayerkey,https://www.youtube.com/watch?v=KI5d7Jz0sMA,owner-curated-research-video,Map Knowledge,Sunset,0
3 Minute Astra Guide - A Guide for Valorant,3 Minute Valorant,https://www.youtube.com/watch?v=kolGGUnFL0U,owner-curated-research-video,Agent,Astra,0
neo frontier collection video,VALORANT,https://www.youtube.com/watch?v=KPvCldjk_O8,skin-collection-video,,neo-frontier,0
imperium collection video,VALORANT,https://www.youtube.com/watch?v=KTIIlCjGL9k,skin-collection-video,,imperium,0
The Astra Mindset Guide (2025),Damezz,https://www.youtube.com/watch?v=KwsUf1N4Rfo,owner-curated-research-video,Agent,Astra,11
How to SOLO CARRY with JETT in 2026 (Radiant Jett Guide),CHARLATAN | Radiant Coach,https://www.youtube.com/watch?v=kwxOY6ZCymk,owner-curated-research-video,Agent,Jett,0
What 3000+ Hours on Sage Teaches You ft. Grim - Valorant Agent Guide,SC Valorant Guides,https://www.youtube.com/watch?v=KxNYwyPfsT0,owner-curated-research-video,Agent,Sage,124
"I Only Played MIKS For The Whole Day, Here's What I Learned",MrLowlander,https://www.youtube.com/watch?v=kZ-84XMrynA,owner-curated-research-video,Agent,Miks,30
Ultimate 2026 Viper Lineup Guide,nAts,https://www.youtube.com/watch?v=LbcPQO_AdJI,owner-curated-research-video,Agent,Viper,0
champions 2021 collection video,VALORANT,https://www.youtube.com/watch?v=LJ0w_9-qXpM,skin-collection-video,,champions-2021,0
"TenZ Explain NEW Veto Buffs, Tip & Tricks || Valorant ||  #valorant #gaming #valorantclips",iiTzKalki,https://www.youtube.com/watch?v=Lprr6e6sosU,owner-curated-research-video,Agent,Veto,0
Updated Split Guide 2026,Dopai,https://www.youtube.com/watch?v=lSxYHTNABuo,owner-curated-research-video,Map Knowledge,Split,15
The NEW Way to Play Controller!,SC Valorant Guides,https://www.youtube.com/watch?v=MjrvSKLjuIs,owner-curated-research-video,Role,Controller,0
How To Carry in Ranked on Skye,Maxie,https://www.youtube.com/watch?v=mLwPYATjw3A,owner-curated-research-video,Agent,Skye,0
radiant entertainment system collection video,VALORANT,https://www.youtube.com/watch?v=MPemOdTvHTk,skin-collection-video,,radiant-entertainment-system,0
The TRIUMPHANT Return of the TEJO META!,Teets,https://www.youtube.com/watch?v=mRO_nrVOqN8,owner-curated-research-video,Agent,Tejo,0
Valorant's Rank #1 Controller Will Blow Your Mind,Konpeki,https://www.youtube.com/watch?v=MxdNNBJY-Es,owner-curated-research-video,Role,Controller,0
The ONLY Deadlock Guide You'll Need. (Top 1%),sullyyarb,https://www.youtube.com/watch?v=MyZ1ZMOv3k0,owner-curated-research-video,Agent,Deadlock,0
*ULTIMATE* Radiant Killjoy Guide 2026! (KJ Tech + Tips & Tricks),Reco,https://www.youtube.com/watch?v=Mz3j9lp_tZI,owner-curated-research-video,Agent,Killjoy,0
The ONLY Raze Guide You'll EVER Need! - Valorant Agent Guide,SC Valorant Guides,https://www.youtube.com/watch?v=n20WzwnHGRw,owner-curated-research-video,Agent,Raze,0
Ranking Every Agent on NEW Breeze in VALORANT,Kanga,https://www.youtube.com/watch?v=ngDgL_40aP8,owner-curated-research-video,Map Knowledge,Breeze,0
VALORANT Abyss Map Guide: Dominate Ranked with Pro Tips (VCT Coach Knowledge),SC Valorant Guides,https://www.youtube.com/watch?v=nk8yrbKYhk0,owner-curated-research-video,Map Knowledge,Abyss,0
The ONLY Phoenix guide you need to hit RADIANT…,SoaR Valorant,https://www.youtube.com/watch?v=ntPwCj2KFpI,owner-curated-research-video,Agent,Phoenix,0
rgx 11z pro collection video,VALORANT,https://www.youtube.com/watch?v=O3InzdUOhxs,skin-collection-video,,rgx-11z-pro,0
"How to play Viper - Setups, Game Theory & more",Locked,https://www.youtube.com/watch?v=obEe0IvUqj8,owner-curated-research-video,Agent,Viper,0
"3 TIPS to DOMINATE on EVERY ROLE in Valorant | Duelist, Initiator, Controller and Sentinel",Slayerkey,https://www.youtube.com/watch?v=OL2syQglUhw,owner-curated-research-video,Role,All Roles,0
HOW TO RANKED: BREACH,toast1ez,https://www.youtube.com/watch?v=ONbyvNV_YO4,owner-curated-research-video,Agent,Breach,59
The ULTIMATE Cypher Guide (2026),ItsFlameBTW,https://www.youtube.com/watch?v=p32l7DQZfXQ,owner-curated-research-video,Agent,Cypher,0
splashx collection video,VALORANT,https://www.youtube.com/watch?v=P8ZahXzfjgk,skin-collection-video,,splashx,0
COMPLETE Abyss Entry & Defense Angle Guide [2026],Slayerkey,https://www.youtube.com/watch?v=pC60Z9HAqlw,owner-curated-research-video,Map Knowledge,Abyss,0
How to DOMINATE on Haven | RADIANT GUIDE/PLAYBOOK,Dopai,https://www.youtube.com/watch?v=pefnbebcs9k,owner-curated-research-video,Map Knowledge,Haven,0
What Makes A Good Sentinel?,Konpeki,https://www.youtube.com/watch?v=PsiyJvJ9kbc,owner-curated-research-video,Role,Sentinel,0
aemondir collection video,Dittozkul,https://www.youtube.com/watch?v=PT3EC2dgqzs,skin-collection-video,,aemondir,0
bolt collection video,Dittozkul,https://www.youtube.com/watch?v=PU26q53j-HM,skin-collection-video,,bolt,0
How to Actually Play Split (In Just 8 Minutes),p1ops,https://www.youtube.com/watch?v=Pv4LDkWGFOo,owner-curated-research-video,Map Knowledge,Split,0
kuronami collection video,VALORANT,https://www.youtube.com/watch?v=pXqSRj-JEkA,skin-collection-video,,kuronami,0
The Only Controller That Climbs High Radiant | Full Clove Guide,"ProGuides Valorant Tips, Tricks and Guides",https://www.youtube.com/watch?v=QbaMRzINRkI,owner-curated-research-video,Agent,Clove,0
HOW TO RANKED: JETT,toast1ez,https://www.youtube.com/watch?v=qKckQRNOkXk,owner-curated-research-video,Agent,Jett,0
HOW TO: CLIMB RANKED WITH SOVA,toast1ez,https://www.youtube.com/watch?v=QnUkOYbTAz8,owner-curated-research-video,Agent,Sova,0
solarstride collection video,Dittozkul,https://www.youtube.com/watch?v=QO6ZoZGMn2M,skin-collection-video,,solarstride,0
A Complete Beginner's Guide to ASTRA,FLOWSHIZZLE,https://www.youtube.com/watch?v=QVhnlXUFtNQ,owner-curated-research-video,Agent,Astra,0
How To Solo Hard Carry on Brimstone! - VALORANT,"ProGuides Valorant Tips, Tricks and Guides",https://www.youtube.com/watch?v=R_-cA-DLtWA,owner-curated-research-video,Agent,Brimstone,0
5 Pro Tips ONLY Tejo Mains Know!,SC Valorant Guides,https://www.youtube.com/watch?v=r4AsYU9rmb4,owner-curated-research-video,Agent,Tejo,0
Split Guide ft. Cavern,Woohoojin,https://www.youtube.com/watch?v=r7htJmHVj5U,owner-curated-research-video,Map Knowledge,Split,0
blackthorn collection video,VALORANT,https://www.youtube.com/watch?v=RdjvO-lrXOw,skin-collection-video,,blackthorn,0
"Fracture Sucks, Here's a Complete Map Guide [2026]",Slayerkey,https://www.youtube.com/watch?v=Re2kFs0DA3o,owner-curated-research-video,Map Knowledge,Fracture,0
Icebox Guide,Woohoojin,https://www.youtube.com/watch?v=RiEtwcYCK88,owner-curated-research-video,Map Knowledge,Icebox,3858
The only NEON guide you will EVER need.,ikah,https://www.youtube.com/watch?v=rK9Xow-8V0g,owner-curated-research-video,Agent,Neon,0
The ONLY Harbor guide you need to hit RADIANT…,SoaR Valorant,https://www.youtube.com/watch?v=rOPHclJgf1M,owner-curated-research-video,Agent,Harbor,0
The ONLY Kayo Guide You'll EVER Need! (2024),SC Valorant Guides,https://www.youtube.com/watch?v=RSzBwuCrP-o,owner-curated-research-video,Agent,KAY/O,0
TenZ FULL *NEW* GEKKO UPDATE REVIEW !!!,TenZ Replay,https://www.youtube.com/watch?v=RYzYuB6IeH8,owner-curated-research-video,Agent,Gekko,0
Here’s How You ACTUALLY Play Summit,Airen,https://www.youtube.com/watch?v=S6zNv5GuQGQ,owner-curated-research-video,Map Knowledge,Summit,0
The Ultimate Guide to Vyse,Konpeki,https://www.youtube.com/watch?v=SaRikMdp3rI,owner-curated-research-video,Agent,Vyse,0
Absolute Basics of Omen,Berate,https://www.youtube.com/watch?v=Sc_t4wzIBoU,owner-curated-research-video,Agent,Omen,0
How to CARRY With Veto,Berate,https://www.youtube.com/watch?v=sGJiGXA_uco,owner-curated-research-video,Agent,Veto,0
Instalocking Neon Made Me Insane...,Valec,https://www.youtube.com/watch?v=sLVbIT-BI_w,owner-curated-research-video,Agent,Neon,0
How to Sage Wall on Every Map (Guide),Grim,https://www.youtube.com/watch?v=svPKK9swRr4,owner-curated-research-video,Agent,Sage,341
Ranking Every Agent on Summit | VALORANT,Kanga,https://www.youtube.com/watch?v=t-tUIssI8WQ,owner-curated-research-video,Map Knowledge,Summit,0
5 Tips to Know Before Playing Waylay,Acend Club,https://www.youtube.com/watch?v=T94ZjD9IPB0,owner-curated-research-video,Agent,Waylay,0
Is MIKS a Good Main Agent for Valorant Ranked Grind?,CHARLATAN | Radiant Coach,https://www.youtube.com/watch?v=TOFSAVqvQf4,owner-curated-research-video,Agent,Miks,0
How to be USEFUL on OMEN,Maxie,https://www.youtube.com/watch?v=TsZI9COIPq4,owner-curated-research-video,Agent,Omen,0
HOW TO PLAY FRACTURE LIKE A PRO | PLAYBOOK & GUIDE,Valorant Kitchen,https://www.youtube.com/watch?v=tz7YNjTIB2U,owner-curated-research-video,Map Knowledge,Fracture,0
I Watched 100 Ascent Games So You Don’t Have To,p1ops,https://www.youtube.com/watch?v=u08SxJtG3p0,owner-curated-research-video,Map Knowledge,Ascent,0
The ONLY GUIDE You Need to MASTER RAZE,Konpeki,https://www.youtube.com/watch?v=U87ZlV7PQRE,owner-curated-research-video,Agent,Raze,0
1 Breach Tip You NEED To Know For Every Map,Vitalytoly,https://www.youtube.com/watch?v=uAnyzBM0X44,owner-curated-research-video,Agent,Breach,0
The Complete ISO GUIDE for IMPROVING in VALORANT!!,TempoKD,https://www.youtube.com/watch?v=UQ--yj9VlPc,owner-curated-research-video,Agent,Iso,0
You NEED To Know This BEFORE Playing Veto!,Thinking Man's Valorant,https://www.youtube.com/watch?v=vaiWvGvszjs,owner-curated-research-video,Agent,Veto,183
araxys collection video,VALORANT,https://www.youtube.com/watch?v=vdfexNscpPo,skin-collection-video,,araxys,0
How to win more Iso ultimates - VALORANT Guide by VCT analyst // Lothar's Lab#95,LotharHS,https://www.youtube.com/watch?v=VHRybuFMdbU,owner-curated-research-video,Agent,Iso,0
